feature_name,true_mean,false_mean,delta,abs_delta,true_std,false_std,single_feature_auroc
L20_attn_out_norm,11.520951660216022,11.050982311347315,0.4699693488687071,0.4699693488687071,2.208514703189636,2.0334029397320132,0.5738606918671594
L16_attn_out_max_abs,2.0377516985033477,1.7007949561403508,0.3369567423629969,0.3369567423629969,1.3117569969098863,1.202394818358342,0.5865225763574679
L16_attn_out_norm,6.905281168533717,6.623539010621388,0.2817421579123289,0.2817421579123289,0.7060498889065902,0.7134283444260326,0.6390150965512172
L15_attn_out_norm,7.495605665916909,7.7527685568865055,-0.2571628909695969,0.2571628909695969,1.1777168944471699,1.1308114671643898,0.435129523296228
L19_attn_out_norm,8.463092403344175,8.256291322148215,0.20680108119596063,0.20680108119596063,1.7071089394231291,1.6735900831346262,0.5451684189168902
L15_attn_out_max_abs,2.832351257877117,2.6307129685007973,0.20163828937631978,0.20163828937631978,0.7839560991025009,0.8080278782926927,0.5878573362404543
L17_attn_out_norm,5.470988460175475,5.278952058696435,0.1920364014790401,0.1920364014790401,0.8616574467126938,0.803758691754555,0.5718435154806706
L20_attn_out_max_abs,2.3366744412170144,2.1881962096291865,0.1484782315878279,0.1484782315878279,0.7204195178504453,0.6771189006630697,0.5615359718534403
L18_attn_out_norm,5.542821409738214,5.40282976013544,0.13999164960277444,0.13999164960277444,2.182936868219103,2.083107277846446,0.5201444389375817
L13_attn_out_max_abs,1.9319229396415911,1.8103942384370015,0.12152870120458958,0.12152870120458958,0.6469114939602778,0.6352809687793101,0.5600334934511257
L14_attn_out_norm,3.674572706289825,3.5953493900646496,0.0792233162251752,0.0792233162251752,0.3070994285845639,0.2768948745207881,0.6052865568267405
L18_attn_out_max_abs,1.0936369202934226,1.040267238586523,0.0533696817068996,0.0533696817068996,0.7043747731698127,0.6097535444657695,0.5122896216157136
L19_attn_out_max_abs,1.2679204411185505,1.231147826953748,0.0367726141648026,0.0367726141648026,0.44914426875925817,0.449750051243827,0.5338562916116242
L17_attn_out_max_abs,2.4420801127412366,2.4091983776913874,0.03288173504984915,0.03288173504984915,0.789952191474689,0.768454683096984,0.5125276939708647
L20_attn_out_std,0.2938012556254654,0.2818274037960892,0.011973851829376159,0.011973851829376159,0.05632781775134054,0.051859864701587474,0.5737399282516507
L20_attn_out_mean_abs,0.22281481035134454,0.21348601634965056,0.00932879400169398,0.00932879400169398,0.043385490329430204,0.03966844400237173,0.5759736625390323
L16_attn_out_std,0.1761531981125641,0.16897313900539482,0.00718005910716929,0.00718005910716929,0.018016467458879068,0.018200050566550503,0.6388401542005323
L15_attn_out_mean_abs,0.1369251329192513,0.14349502941152306,-0.006569896492271771,0.006569896492271771,0.02414078307759383,0.023060525174547878,0.41668975151904614
L15_attn_out_std,0.1912305232382088,0.19777988008935526,-0.006549356851146465,0.006549356851146465,0.030049777164365823,0.028848688924241202,0.43525217138948197
L19_attn_out_std,0.2158551752012782,0.21057800380245606,0.005277171398822139,0.005277171398822139,0.04355024437686737,0.042682842660259866,0.5451626084438423
L17_attn_out_std,0.13951128824900552,0.13461470518090063,0.004896583068104893,0.004896583068104893,0.021985978351334094,0.02049963995019937,0.5717667230125513
L13_attn_out_norm,6.885189438082068,6.889313976715464,-0.00412453863339568,0.00412453863339568,0.8797877318994105,0.8474138165648993,0.48577533381952864
L19_attn_out_mean_abs,0.16559985675965413,0.16161021750980842,0.003989639249845717,0.003989639249845717,0.034063869305741123,0.03320505157641075,0.5447183428153972
L17_attn_out_mean_abs,0.09739483942483745,0.09341107254279246,0.003983766882044992,0.003983766882044992,0.018559200174157686,0.017344514456373816,0.5610214309090783
L18_attn_out_std,0.14139869549795386,0.1378261601323521,0.003572535365601759,0.003572535365601759,0.055690516007481164,0.05314673573316201,0.5201629696354101
L16_attn_out_mean_abs,0.12752492760530834,0.12403136420335936,0.003493563401948979,0.003493563401948979,0.012598150638413103,0.011855990795145856,0.5939757643598775
L14_attn_out_max_abs,2.174538142477353,2.177232854864434,-0.0026947123870808554,0.0026947123870808554,0.2675597759764269,0.2514635006074695,0.5015884576994422
L18_attn_out_mean_abs,0.10930158494063494,0.10670535262770783,0.0025962323129271048,0.0025962323129271048,0.04269689651051847,0.04110022295699027,0.5209985784756208
L14_attn_out_std,0.09374868430773123,0.09172265722283413,0.002026027084897103,0.002026027084897103,0.007829950973426088,0.00704808957435415,0.6054841129103686
L14_attn_out_mean_abs,0.05763829588833751,0.05575123915109372,0.001887056737243785,0.001887056737243785,0.008637957566154174,0.007700898433070385,0.5730167599169071
L13_attn_out_mean_abs,0.1237903606312768,0.12464154351638763,-0.0008511828851108377,0.0008511828851108377,0.016226969660670807,0.016064032271485083,0.4721237059134284
L14_attn_out_sparsity_1e-3,0.013965984803728505,0.014351730711722488,-0.00038574590799398366,0.00038574590799398366,0.003359535040394476,0.0033788149315302526,0.4660885874143269
L15_attn_out_sparsity_1e-3,0.005661934242483917,0.005333453781233386,0.00032848046125053074,0.00032848046125053074,0.0021708838469107097,0.0020508528131545304,0.5419631578319208
L17_attn_out_sparsity_1e-3,0.007601981997505579,0.007871166434077618,-0.0002691844365720394,0.0002691844365720394,0.002531138533957558,0.002615357863051641,0.4735441310139181
L20_attn_out_sparsity_1e-3,0.0034298280162793748,0.0036160328615098348,-0.00018620484523045999,0.00018620484523045999,0.001671704979667618,0.0017326499040603905,0.470868565215179
L19_attn_out_sparsity_1e-3,0.004478571780228436,0.004620890234582668,-0.00014231845435423197,0.00014231845435423197,0.0019165804889088294,0.0019414549106611739,0.4778906789333605
L13_attn_out_std,0.17565360651657158,0.17575434757271235,-0.000100741056140774,0.000100741056140774,0.022441762121749892,0.021615122600919107,0.48589876711184316
L18_attn_out_sparsity_1e-3,0.00674016591177629,0.006832303296119086,-9.213738434279625e-05,9.213738434279625e-05,0.0027321715617385236,0.002742823273250581,0.49020888179487704
L16_attn_out_sparsity_1e-3,0.005927838223710122,0.00601175197700691,-8.391375329678836e-05,8.391375329678836e-05,0.0020718254020798965,0.00207119852887547,0.4884019817167969
L13_attn_out_sparsity_1e-3,0.006427850531705396,0.006399573448298778,2.8277083406617713e-05,2.8277083406617713e-05,0.002158493988345387,0.0022123893025732173,0.5046798649206352
